#second	computedX	computedY	computedZ	realX	realY	realZ	witnesscount	deviation	totalDetections
15	407.45297	557.9941	17.5	400.5999	544.7001	10.5	17	14.956436969486946	-1
45	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
75	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
105	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
135	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
165	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
195	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
225	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
255	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
285	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
315	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
345	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
375	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
405	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
435	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
465	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
495	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
525	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
555	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
585	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
615	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
645	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
675	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
705	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
735	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
765	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
795	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
825	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
855	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
885	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
915	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
945	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
975	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
1005	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
1035	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
1065	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
1095	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
1125	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
1155	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
1185	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
1215	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
1245	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
1275	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
1305	407.60483	559.26184	22.5	400.59995	544.70013	10.5	21	16.158950481401842	-1
1335	407.60718	559.4285	16.0	400.59995	544.70013	10.5	14	16.31033066303184	-1
