#second	computedX	computedY	computedZ	realX	realY	realZ	witnesscount	deviation	totalDetections
15	284.4	354.6	2.1	294.0	359.09995	10.5	5	10.602337849496038	-1
45	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
75	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
105	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
135	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
165	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
195	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
225	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
255	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
285	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
315	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
345	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
375	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
405	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
435	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
465	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
495	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
525	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
555	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
585	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
615	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
645	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
675	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
705	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
735	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
765	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
795	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
825	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
855	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
885	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
915	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
945	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
975	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1005	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1035	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1065	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1095	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1125	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1155	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1185	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1215	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1245	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1275	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1305	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1335	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1365	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1395	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1425	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1455	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1485	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1515	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1545	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1575	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1605	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1635	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1665	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1695	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1725	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1755	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1785	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1815	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1845	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1875	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1905	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1935	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1965	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
1995	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2025	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2055	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2085	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2115	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2145	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2175	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2205	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2235	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2265	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2295	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2325	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2355	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2385	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2415	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2445	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2475	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2505	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2535	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2565	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2595	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2625	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2655	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2685	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
2715	286.0	355.35	1.75	294.0	359.09998	10.5	4	8.835285570885379	-1
