#second	computedX	computedY	computedZ	realX	realY	realZ	witnesscount	deviation	totalDetections
30	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
90	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
150	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
210	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
270	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
330	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
390	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
450	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
510	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
570	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
630	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
690	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
750	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
810	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
870	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
930	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
990	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1050	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1110	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1170	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1230	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1290	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1350	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1410	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1470	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1530	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1590	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1650	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1710	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1770	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1830	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1890	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
1950	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
2010	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
2070	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
2130	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
2190	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
2250	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
2310	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
2370	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
2430	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
2490	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
2550	431.91956	562.17456	21.0	431.3002	564.69965	28.0	113	2.599933885780553	-1
