#second	computedX	computedY	computedZ	realX	realY	realZ	witnesscount	deviation	totalDetections
15	413.14304	555.5765	20.509346	406.7001	551.2999	28.0	107	7.733062577399948	-1
45	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
75	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
105	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
135	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
165	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
195	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
225	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
255	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
285	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
315	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
345	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
375	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
405	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
435	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
465	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
495	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
525	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
555	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
585	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
615	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
645	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
675	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
705	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
735	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
765	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
795	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
825	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
855	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
885	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
915	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
945	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
975	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1005	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1035	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1065	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1095	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1125	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1155	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1185	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1215	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1245	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1275	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1305	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1335	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1365	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1395	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1425	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1455	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1485	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1515	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1545	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1575	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1605	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1635	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1665	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1695	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1725	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1755	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1785	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1815	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1845	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1875	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1905	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1935	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1965	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
1995	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
2025	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
2055	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
2085	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
2115	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
2145	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
2175	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
2205	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
2235	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
2265	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
2295	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
2325	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
2355	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
2385	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
2415	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
2445	413.09232	555.44214	20.39423	406.7001	551.29987	28.0	104	7.617007177370386	-1
